display  D   display_settings.c:400  _al_score_display_settings       [   0.04607] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04614] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04620] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04626] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04632] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04637] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04645] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04651] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04658] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04664] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04673] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04679] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04685] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04690] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04697] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04703] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04709] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04715] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04737] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04747] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04757] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04763] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04769] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04775] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04781] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.04787] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04793] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.04796] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04801] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.04806] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04816] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.04820] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04825] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.04829] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04834] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.04839] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04844] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.04849] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04854] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.04858] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04863] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.04866] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04871] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.04874] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04882] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.04892] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04899] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.04904] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04909] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.04912] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04922] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.04926] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04930] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.04934] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04939] Score is : 513
display  D   display_settings.c:214  debug_display_settings           [   0.04943] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04948] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04959] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04964] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04968] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04973] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04982] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04988] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04993] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04998] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05006] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05012] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05017] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05036] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05045] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05052] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05057] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05064] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05070] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05076] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05081] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05092] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05097] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05104] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05109] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05115] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05121] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05127] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05133] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05139] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05145] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05150] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.05159] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.05887] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.05897] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.10495] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.14021] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.14035] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.14047] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.14056] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.14065] Returning d3d_display: 0000020DD1E83DE0
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.14070] al_display=0000020DD1E83DE0
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.14075] al_display->vt=0000020DD1E9EBD0
dtor     D               dtor.c:196  _al_register_destructor          [   0.14120] added dtor for bitmap 0000020DD8A5C300, func 00007FFF5DA21190
dtor     D               dtor.c:196  _al_register_destructor          [   0.14269] added dtor for bitmap 0000020DD8A76020, func 00007FFF5DA21190
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.14817] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.14833] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.14838] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.14842] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.14846] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.14850] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.14854] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.14858] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.14862] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.14866] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.14870] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.14874] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.14879] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.14931] added dtor for bitmap 0000020DD8A90080, func 00007FFF5DA21190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15027] added dtor for sub_bitmap 0000020DD8AF8460, func 00007FFF5DA21190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15039] added dtor for sub_bitmap 0000020DD8AF8650, func 00007FFF5DA21190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15046] added dtor for sub_bitmap 0000020DD8AF8A50, func 00007FFF5DA21190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15052] added dtor for sub_bitmap 0000020DD8AF9640, func 00007FFF5DA21190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15058] added dtor for sub_bitmap 0000020DD8AF9830, func 00007FFF5DA21190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15065] added dtor for sub_bitmap 0000020DD8AF9A20, func 00007FFF5DA21190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15074] added dtor for sub_bitmap 0000020DD8AF8C90, func 00007FFF5DA21190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15082] added dtor for sub_bitmap 0000020DD8AF8E80, func 00007FFF5DA21190
